Product,Product Type Extension,Vendor,Effective,Remarks
"DiGiorno, Jack's",
California Kitche,
"Potatoes (dehydratedpackage)",Potatoes (dehydrated
package),
YooHoo drinks,YooHoo drink
"Pudding/Gelatin (HandiSnack Desserts) Kraft",Pudding/Gelatin (Hand
Snack Desserts) Kraft,
"Refrigerated Drinks-Assorted  (glass) OceanSpray",Refrigerated Drinks
Assorted  (glass) Ocea,
Spra,
Product,Product Type Extension Vendor,,Effective,Remarks
"",period,,Date,
Refrigerated Drinks-,Beverages 30 days Ocean Spray,,3/1/03,Ocean Spray only
Citrus  (plastic bottles),,,,
Ocean Spray,,,,
Refrigerated juices,Beverages 7 days Tropicana,,3/16/04,Tropicana only
(Tropicana),,,,
Refrigerated Non-citrus,Beverages 60 days Ocean Spray,,3/1/03,Ocean Spray only
drinks- Assorted  (plastic,,,,
& can) Ocean Spray,,,,
"Rice, brown",Sides 1 year N/A,,12/23/03,
"Rice, flavored or herb",Sides 6 months N/A,,12/23/03,
"Rice, white or wild",Sides 2 years N/A,,12/23/03,
Rotisserie chicken,Meats 4 months N/A,,12/23/03,`
(frozen),,,,
Salad dressings (bottled),Condiments 12 months N/A,,12/23/03,
Salad dressings (bottled),Condiments 12 months Unilever,,1/19/06,"Wish-Bone only,  - Network"
Wish-Bone,Bestfoods,,,"Connection - Volume 2,"
"",,,,Issue 3
Salmon Pink (canned),Meats 36 months N/A,,6/1/97,
Salsa,Condiments 24 months N/A,,6/1/97,
"Salsa, picante, taco",Condiments 12 months N/A,,12/23/03,
sauces,,,,
"Sauces (Bull's Eye, BBQ)",Condiments 60 days Kraft,,3/1/03,Kraft products only
Kraft,,,,
Sauces (cream with milk),Baking 1 year N/A,,12/23/03,
"",Ingredients,,,
"Sauces, Hellmann's",Sauces 12 months Unilever,,1/19/06,"Hellmann's only, 3 month"
"",Bestfoods,,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Sausage- patties &,Meats indefinitely N/A,,12/23/03,Until product appears bad
