,Ingredient,Average retail price,Unit,Refrigerator Storage,Freezer Storage
328,apricots,3.04,per pound,1 month,8-12 months
329,mango apricots,1.38,per pound,1 month,8-12 months
330,sautéed peaches,1.59,per pound,Ripen at room temperature,8-12 months
331,lb ripe peaches,1.59,per pound,Ripen at room temperature,8-12 months
332,peaches,1.59,per pound,Ripen at room temperature,8-12 months
333,spiced peaches and raspberries,1.59,per pound,Ripen at room temperature,8-12 months
334,dried peaches,1.59,per pound,Ripen at room temperature,8-12 months
335,unsweetened peaches,1.59,per pound,Ripen at room temperature,8-12 months
336,firm-ripe peaches,1.59,per pound,Ripen at room temperature,8-12 months
337,lb firm-ripe peaches,1.59,per pound,Ripen at room temperature,8-12 months
338,organic peaches,1.59,per pound,Ripen at room temperature,8-12 months
339,frozen peaches,1.59,per pound,Ripen at room temperature,8-12 months
340,lb peaches,1.59,per pound,Ripen at room temperature,8-12 months
341,white peaches,1.59,per pound,Ripen at room temperature,8-12 months
342,yellow peaches,1.59,per pound,Ripen at room temperature,8-12 months
343,frozen unsweetened sliced peaches,1.59,per pound,Ripen at room temperature,8-12 months
344,"bottled brandied peaches, drained, reserving 1/4 cup syrup, and diced",1.59,per pound,Ripen at room temperature,8-12 months
345,sugar peaches,1.59,per pound,Ripen at room temperature,8-12 months
346,12 ounces nectarines and peaches,1.59,per pound,1 week,8-12 months
347,nectarines plums,1.83,per pound,1 week,8-12 months
348,red-skinned plums,1.83,per pound,Ripen at room temperature,8-12 months
349,dark red plums,1.83,per pound,Ripen at room temperature,8-12 months
350,plums plums,1.83,per pound,Ripen at room temperature,8-12 months
351,plums,1.83,per pound,Ripen at room temperature,8-12 months
352,italian prune plums,1.83,per pound,Ripen at room temperature,8-12 months
353,prunes plums),1.83,per pound,Ripen at room temperature,8-12 months
354,black plums,1.83,per pound,Ripen at room temperature,8-12 months
355,red plums,1.83,per pound,Ripen at room temperature,8-12 months
356,tea-poached plums,1.83,per pound,Ripen at room temperature,8-12 months
357,lb plums,1.83,per pound,Ripen at room temperature,8-12 months
358,firm-ripe red plums,1.83,per pound,Ripen at room temperature,8-12 months
359,angelino plums*,1.83,per pound,1-3 days at room temperature,2 months
360,"black lentils, green lentils, or chickpeas",1.39,per pound,3-5 days,8-12 months
361,peas green beans,2.14,per pound,3-5 days,8-12 months
362,green beans beans,2.14,per pound,1-2 weeks,8-12 months
363,spicy pickled green beans and fennel,2.14,per pound,1-2 weeks,8-12 months
364,haricots verts french green beans),2.14,per pound,1-2 weeks,8-12 months
365,haricots verts french green beans beans,2.14,per pound,1-2 weeks,8-12 months
366,haricots verts green beans,2.14,per pound,1-2 weeks,8-12 months
367,green beans peas,2.14,per pound,1-2 weeks,8-12 months
368,oz green beans,2.14,per pound,1-2 weeks,8-12 months
369,blue lake green beans,2.14,per pound,1-2 weeks,8-12 months
370,chinese long beans green beans,2.14,per pound,1-2 weeks,8-12 months
371,green beans,2.14,per pound,1-2 weeks,8-12 months
372,french-cut green beans,2.14,per pound,1-2 weeks,8-12 months
373,okra,3.21,per pound,3-5 days,8-12 months
374,lb okra,3.21,per pound,3-5 days,8-12 months
375,okra pods,3.21,per pound,3-5 days,8-12 months
376,"okra, cut crosswise into 1/2-inch pieces (2 cups), or 1",3.21,per pound,3-5 days,8-12 months
377,butternut squash winter squash,1.24,per pound,Store in a dry place,8-12 months
378,papayas,1.30,per pound,5 days,8-12 months
379,honeydew melons,0.80,per pound,Ripen at room temperature,8-12 months
380,kiwis,2.04,per pound,1-2 days,8-12 months
381,baby kiwis*,2.04,per pound,1-2 days,8-12 months
382,accompaniments: mayonnaise; mustard; iceberg lettuce; dill pickles,1.21,per pound,2 months,Freeze poorly
